recnr,lastname,origin,source
416,Getahun,amharic,https://www.names.org/lists/by-origin/amharic/
417,Akili,swahili ,https://www.names.org/lists/by-origin/swahili/
418,Harrison,english,https://www.names.org/lists/by-origin/english/
419,Aliu,igbo,https://www.names.org/lists/by-origin/igbo/
420,Tunzi,xhosa,https://www.names.org/lists/by-origin/xhosa/
421,Ansari,arabic,https://www.names.org/lists/by-origin/arabic/
422,Novich,amharic,https://www.names.org/lists/by-origin/amharic/
423,Rabina,arabic,https://www.names.org/lists/by-origin/arabic/
424,Idahosa,igbo,https://www.names.org/lists/by-origin/igbo/
425,Carson,english,https://www.names.org/lists/by-origin/english/
426,Grandhomme,english,https://www.names.org/lists/by-origin/english/
427,Uche,igbo,https://www.names.org/lists/by-origin/igbo/
428,Liso,xhosa,https://www.names.org/lists/by-origin/xhosa/
429,Kalokoh,yoruba,https://www.names.org/lists/by-origin/yoruba/
430,Kato,african-american,https://www.names.org/lists/by-origin/african/
431,Gideon,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
432,Bassey,african,https://www.names.org/lists/by-origin/african/
433,Snyman,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
434,Long,english,https://www.names.org/lists/by-origin/english/
435,Gerrie,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
436,Sorie,african,https://www.names.org/lists/by-origin/african/
437,Williams,english,https://www.names.org/lists/by-origin/english/
438,Kunda,xhosa,https://www.names.org/lists/by-origin/xhosa/
439,Stimage,xhosa,https://www.names.org/lists/by-origin/xhosa/
440,Okwara,igbo,https://www.names.org/lists/by-origin/igbo/
441,Woods,english,https://www.names.org/lists/by-origin/english/
442,Hemmen,amharic,https://www.names.org/lists/by-origin/amharic/
443,Turner,english,https://www.names.org/lists/by-origin/english/
444,Ogbodo,igbo,https://www.names.org/lists/by-origin/igbo/
445,Chane,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
446,Fiorina,amharic,https://www.names.org/lists/by-origin/amharic/
447,Aseel,arabic,https://www.names.org/lists/by-origin/arabic/
448,Saiz,arabic,https://www.names.org/lists/by-origin/arabic/
449,Oliver,english,https://www.names.org/lists/by-origin/english/
450,Raya,arabic,https://www.names.org/lists/by-origin/arabic/
451,Georges,arabic,https://www.names.org/lists/by-origin/arabic/
452,Muhammed,arabic,https://www.names.org/lists/by-origin/arabic/
453,Mapula,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
454,Rademan,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
455,Steyn,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
456,Ajanaku,yoruba,https://www.names.org/lists/by-origin/yoruba/
457,Lade,yoruba,https://www.names.org/lists/by-origin/yoruba/
458,Mengistu,amharic,https://www.names.org/lists/by-origin/amharic/
459,Ayodele,yoruba,https://www.names.org/lists/by-origin/yoruba/
460,Nwokocha,igbo,https://www.names.org/lists/by-origin/igbo/
461,Iman,arabic,https://www.names.org/lists/by-origin/arabic/
462,Mende,yoruba,https://www.names.org/lists/by-origin/yoruba/
463,Buhle,african,https://www.names.org/lists/by-origin/african/
464,Kamanda,yoruba,https://www.names.org/lists/by-origin/yoruba/
465,Okoli,igbo,https://www.names.org/lists/by-origin/igbo/
466,Ceesay,african,https://www.names.org/lists/by-origin/african/
467,Habte,amharic,https://www.names.org/lists/by-origin/amharic/
468,Musa,african-american,https://www.names.org/lists/by-origin/african/
469,Yoseph,amharic,https://www.names.org/lists/by-origin/amharic/
470,Corey,english,https://www.names.org/lists/by-origin/english/
471,Lucas,english,https://www.names.org/lists/by-origin/english/
472,Egbo,igbo,https://www.names.org/lists/by-origin/igbo/
473,Wickus,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
474,Kola,yoruba,https://www.names.org/lists/by-origin/yoruba/
475,Bisi,yoruba,https://www.names.org/lists/by-origin/yoruba/
476,Fife,african-american,https://www.names.org/lists/by-origin/african/
477,Abshir,amharic,https://www.names.org/lists/by-origin/amharic/
478,Taylor,english,https://www.names.org/lists/by-origin/english/
479,Wilka,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
480,Kendi,swahili ,https://www.names.org/lists/by-origin/swahili/
481,Reel,arabic,https://www.names.org/lists/by-origin/arabic/
482,Roberts,english,https://www.names.org/lists/by-origin/english/
483,Adesina,yoruba,https://www.names.org/lists/by-origin/yoruba/
484,Gebreyesus,amharic,https://www.names.org/lists/by-origin/amharic/
485,Adams,english,https://www.names.org/lists/by-origin/english/
486,Secka,african,https://www.names.org/lists/by-origin/african/
487,Elom,amharic,https://www.names.org/lists/by-origin/amharic/
488,Jallow,african,https://www.names.org/lists/by-origin/african/
489,Turay,african,https://www.names.org/lists/by-origin/african/
490,Cooper,english,https://www.names.org/lists/by-origin/english/
491,Mishka,english,https://www.names.org/lists/by-origin/english/
492,Luffy,english,https://www.names.org/lists/by-origin/english/
493,Stephanus,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
494,Juba,yoruba,https://www.names.org/lists/by-origin/yoruba/
495,Chukwuma,igbo,https://www.names.org/lists/by-origin/igbo/
496,Lawal,african,https://www.names.org/lists/by-origin/african/
497,Uchendu,igbo,https://www.names.org/lists/by-origin/igbo/
498,Shuga,igbo,https://www.names.org/lists/by-origin/igbo/
499,Artwell,xhosa,https://www.names.org/lists/by-origin/xhosa/
500,Mussa,swahili ,https://www.names.org/lists/by-origin/swahili/
501,Jaxel,igbo,https://www.names.org/lists/by-origin/igbo/
502,Makinde,yoruba,https://www.names.org/lists/by-origin/yoruba/
503,Hope,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
504,Mensah,african-american,https://www.names.org/lists/by-origin/african/
505,Luli,igbo,https://www.names.org/lists/by-origin/igbo/
506,Tyler,english,https://www.names.org/lists/by-origin/english/
507,Akin,african-american,https://www.names.org/lists/by-origin/african/
508,Ano,xhosa,https://www.names.org/lists/by-origin/xhosa/
509,Hanel,amharic,https://www.names.org/lists/by-origin/amharic/
510,Allison,english,https://www.names.org/lists/by-origin/english/
511,Gladness,swahili ,https://www.names.org/lists/by-origin/swahili/
512,Ejiofor,igbo,https://www.names.org/lists/by-origin/igbo/
513,Jacques,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
514,Mansaray,african,https://www.names.org/lists/by-origin/african/
515,Wyatt,english,https://www.names.org/lists/by-origin/english/
516,Jackline,swahili ,https://www.names.org/lists/by-origin/swahili/
517,Mackenzie,english,https://www.names.org/lists/by-origin/english/
518,Yilma,amharic,https://www.names.org/lists/by-origin/amharic/
519,Boma,igbo,https://www.names.org/lists/by-origin/igbo/
520,Soini,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
521,Sarti,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
522,Ugochukwu,igbo,https://www.names.org/lists/by-origin/igbo/
523,Mulenga,xhosa,https://www.names.org/lists/by-origin/xhosa/
524,Jonker,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
525,Lode,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
526,Kehinde,yoruba,https://www.names.org/lists/by-origin/yoruba/
527,Robel,african,https://www.names.org/lists/by-origin/african/
528,Rinas,amharic,https://www.names.org/lists/by-origin/amharic/
529,Treasure,igbo,https://www.names.org/lists/by-origin/igbo/
530,Ellis,english,https://www.names.org/lists/by-origin/english/
531,Zara,arabic,https://www.names.org/lists/by-origin/arabic/
532,Tise,yoruba,https://www.names.org/lists/by-origin/yoruba/
533,Alaya,arabic,https://www.names.org/lists/by-origin/arabic/
534,Yousif,arabic,https://www.names.org/lists/by-origin/arabic/
535,Quiah,yoruba,https://www.names.org/lists/by-origin/yoruba/
536,Lewi,amharic,https://www.names.org/lists/by-origin/amharic/
537,Keita,african,https://www.names.org/lists/by-origin/african/
538,Siwa,arabic,https://www.names.org/lists/by-origin/arabic/
539,Afolabi,yoruba,https://www.names.org/lists/by-origin/yoruba/
540,Siah,english,https://www.names.org/lists/by-origin/english/
541,Adeniji,yoruba,https://www.names.org/lists/by-origin/yoruba/
542,Solomon,amharic,https://www.names.org/lists/by-origin/amharic/
543,Gay,african-american,https://www.names.org/lists/by-origin/african/
544,Oyama,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
545,Luma,arabic,https://www.names.org/lists/by-origin/arabic/
546,Desanges,swahili ,https://www.names.org/lists/by-origin/swahili/
547,Adeyemo,yoruba,https://www.names.org/lists/by-origin/yoruba/
548,Okechukwu,igbo,https://www.names.org/lists/by-origin/igbo/
549,Corne,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
550,Jelani,swahili ,https://www.names.org/lists/by-origin/swahili/
551,Fofanah,yoruba,https://www.names.org/lists/by-origin/yoruba/
552,Moorer,african-american,https://www.names.org/lists/by-origin/african/
553,Delice,swahili ,https://www.names.org/lists/by-origin/swahili/
554,Rayan,arabic,https://www.names.org/lists/by-origin/arabic/
555,Lasisi,yoruba,https://www.names.org/lists/by-origin/yoruba/
556,Okereke,igbo,https://www.names.org/lists/by-origin/igbo/
557,Dickson,african-american,https://www.names.org/lists/by-origin/african/
558,Kuhle,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
559,Anderson,english,https://www.names.org/lists/by-origin/english/
560,Balent,swahili ,https://www.names.org/lists/by-origin/swahili/
561,Yoas,african,https://www.names.org/lists/by-origin/african/
562,Sakala,xhosa,https://www.names.org/lists/by-origin/xhosa/
563,Nene,african,https://www.names.org/lists/by-origin/african/
564,Carter,english,https://www.names.org/lists/by-origin/english/
565,Fofana,african,https://www.names.org/lists/by-origin/african/
566,Tamba,yoruba,https://www.names.org/lists/by-origin/yoruba/
567,Jordan,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
568,Adili,swahili ,https://www.names.org/lists/by-origin/swahili/
569,Okpala,igbo,https://www.names.org/lists/by-origin/igbo/
570,Lati,arabic,https://www.names.org/lists/by-origin/arabic/
571,Kamara,african-american,https://www.names.org/lists/by-origin/african/
572,Adane,amharic,https://www.names.org/lists/by-origin/amharic/
573,Beza,african,https://www.names.org/lists/by-origin/african/
574,Vorster,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
575,Demissie,amharic,https://www.names.org/lists/by-origin/amharic/
576,Dewald,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
577,Brightwell,xhosa,https://www.names.org/lists/by-origin/xhosa/
578,Mulbah,african,https://www.names.org/lists/by-origin/african/
579,Vivens,swahili ,https://www.names.org/lists/by-origin/swahili/
580,Kiamy,african,https://www.names.org/lists/by-origin/african/
581,Risper,swahili ,https://www.names.org/lists/by-origin/swahili/
582,Pendo,swahili ,https://www.names.org/lists/by-origin/swahili/
583,Dewaal,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
584,Muriuki,swahili ,https://www.names.org/lists/by-origin/swahili/
585,Eliab,amharic,https://www.names.org/lists/by-origin/amharic/
586,Banke,yoruba,https://www.names.org/lists/by-origin/yoruba/
587,Seid,amharic,https://www.names.org/lists/by-origin/amharic/
588,Bryant,english,https://www.names.org/lists/by-origin/english/
589,Wyngaard,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
590,Godwin,african-american,https://www.names.org/lists/by-origin/african/
591,Sagal,arabic,https://www.names.org/lists/by-origin/arabic/
592,Luke,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
593,Azubuike,igbo,https://www.names.org/lists/by-origin/igbo/
594,Daleen,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
595,Kaza,african,https://www.names.org/lists/by-origin/african/
596,Babatunde,yoruba,https://www.names.org/lists/by-origin/yoruba/
597,Henshaw,igbo,https://www.names.org/lists/by-origin/igbo/
598,Miriana,arabic,https://www.names.org/lists/by-origin/arabic/
599,Nelson,english,https://www.names.org/lists/by-origin/english/
600,Zia,arabic,https://www.names.org/lists/by-origin/arabic/
601,Wardak,arabic,https://www.names.org/lists/by-origin/arabic/
602,Comfort,african-american,https://www.names.org/lists/by-origin/african/
603,Saad,arabic,https://www.names.org/lists/by-origin/arabic/
604,Abiola,yoruba,https://www.names.org/lists/by-origin/yoruba/
605,Lebo,african,https://www.names.org/lists/by-origin/african/
606,Koopman,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
607,Ofoegbu,igbo,https://www.names.org/lists/by-origin/igbo/
608,Zuber,arabic,https://www.names.org/lists/by-origin/arabic/
609,Charne,african,https://www.names.org/lists/by-origin/african/
610,Maybin,african,https://www.names.org/lists/by-origin/african/
611,Barok,african,https://www.names.org/lists/by-origin/african/
612,Greyling,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
613,Ababa,amharic,https://www.names.org/lists/by-origin/amharic/
614,Mena,african-american,https://www.names.org/lists/by-origin/african/
615,Abdullah,arabic,https://www.names.org/lists/by-origin/arabic/
616,Ezike,igbo,https://www.names.org/lists/by-origin/igbo/
617,Sillah,yoruba,https://www.names.org/lists/by-origin/yoruba/
618,Meila,english,https://www.names.org/lists/by-origin/english/
619,Chukwu,igbo,https://www.names.org/lists/by-origin/igbo/
620,Melat,african,https://www.names.org/lists/by-origin/african/
621,Sirak,amharic,https://www.names.org/lists/by-origin/amharic/
622,Minke,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
623,Wells,english,https://www.names.org/lists/by-origin/english/
624,Osuji,igbo,https://www.names.org/lists/by-origin/igbo/
625,Marcil,african,https://www.names.org/lists/by-origin/african/
626,Kira,english,https://www.names.org/lists/by-origin/english/
627,Chimka,igbo,https://www.names.org/lists/by-origin/igbo/
628,Nandi,swahili ,https://www.names.org/lists/by-origin/swahili/
629,Scarlett,english,https://www.names.org/lists/by-origin/english/
630,Hassan,arabic,https://www.names.org/lists/by-origin/arabic/
631,Jaiteh,african,https://www.names.org/lists/by-origin/african/
632,Luna,english,https://www.names.org/lists/by-origin/english/
633,Ahmari,yoruba,https://www.names.org/lists/by-origin/yoruba/
634,Hannan,arabic,https://www.names.org/lists/by-origin/arabic/
635,Dacosta,african-american,https://www.names.org/lists/by-origin/african/
636,Khoury,arabic,https://www.names.org/lists/by-origin/arabic/
637,Ssali,swahili ,https://www.names.org/lists/by-origin/swahili/
638,Adesanya,yoruba,https://www.names.org/lists/by-origin/yoruba/
639,Chabala,xhosa,https://www.names.org/lists/by-origin/xhosa/
640,Kaso,arabic,https://www.names.org/lists/by-origin/arabic/
641,Green,english,https://www.names.org/lists/by-origin/english/
642,Bement,amharic,https://www.names.org/lists/by-origin/amharic/
643,Awad,arabic,https://www.names.org/lists/by-origin/arabic/
644,Sanga,xhosa,https://www.names.org/lists/by-origin/xhosa/
645,Hebron,amharic,https://www.names.org/lists/by-origin/amharic/
646,Saleh,arabic,https://www.names.org/lists/by-origin/arabic/
647,Mudrick,swahili ,https://www.names.org/lists/by-origin/swahili/
648,Moges,amharic,https://www.names.org/lists/by-origin/amharic/
649,Syre,african,https://www.names.org/lists/by-origin/african/
650,Bismark,african,https://www.names.org/lists/by-origin/african/
651,Fourie,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
652,Vanest,arabic,https://www.names.org/lists/by-origin/arabic/
653,Noor,arabic,https://www.names.org/lists/by-origin/arabic/
654,Janvier,swahili ,https://www.names.org/lists/by-origin/swahili/
655,Tee,african,https://www.names.org/lists/by-origin/african/
656,Sava,arabic,https://www.names.org/lists/by-origin/arabic/
657,Rohan,english,https://www.names.org/lists/by-origin/english/
658,Luyando,xhosa,https://www.names.org/lists/by-origin/xhosa/
659,Igbokwe,igbo,https://www.names.org/lists/by-origin/igbo/
660,Rhys,english,https://www.names.org/lists/by-origin/english/
661,Demar,english,https://www.names.org/lists/by-origin/english/
662,Marshall,english,https://www.names.org/lists/by-origin/english/
663,Syria,arabic,https://www.names.org/lists/by-origin/arabic/
664,Yannick,swahili ,https://www.names.org/lists/by-origin/swahili/
665,Nissi,igbo,https://www.names.org/lists/by-origin/igbo/
666,Mosa,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
667,Grobler,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
668,Ademi,yoruba,https://www.names.org/lists/by-origin/yoruba/
669,Mohale,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
670,Peace,african-american,https://www.names.org/lists/by-origin/african/
671,Zaia,english,https://www.names.org/lists/by-origin/english/
672,Hussein,arabic,https://www.names.org/lists/by-origin/arabic/
673,Kulb,african,https://www.names.org/lists/by-origin/african/
674,Bertin,swahili ,https://www.names.org/lists/by-origin/swahili/
675,Azlin,arabic,https://www.names.org/lists/by-origin/arabic/
676,Cook,english,https://www.names.org/lists/by-origin/english/
677,Bosire,swahili ,https://www.names.org/lists/by-origin/swahili/
678,Bukata,african,https://www.names.org/lists/by-origin/african/
679,Zewdie,amharic,https://www.names.org/lists/by-origin/amharic/
680,Mostert,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
681,Fahad,arabic,https://www.names.org/lists/by-origin/arabic/
682,Aldana,arabic,https://www.names.org/lists/by-origin/arabic/
683,Shad,arabic,https://www.names.org/lists/by-origin/arabic/
684,Golis,arabic,https://www.names.org/lists/by-origin/arabic/
685,Kolisi,xhosa,https://www.names.org/lists/by-origin/xhosa/
686,Matthys,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
687,Alabi,yoruba,https://www.names.org/lists/by-origin/yoruba/
688,Coker,african-american,https://www.names.org/lists/by-origin/african/
689,Haidara,african,https://www.names.org/lists/by-origin/african/
690,Marang,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
691,Rania,arabic,https://www.names.org/lists/by-origin/arabic/
692,Ivy,english,https://www.names.org/lists/by-origin/english/
693,Archibong,igbo,https://www.names.org/lists/by-origin/igbo/
694,Webb,english,https://www.names.org/lists/by-origin/english/
695,Zak,arabic,https://www.names.org/lists/by-origin/arabic/
696,Shaden,arabic,https://www.names.org/lists/by-origin/arabic/
697,Zaika,arabic,https://www.names.org/lists/by-origin/arabic/
698,Maroun,arabic,https://www.names.org/lists/by-origin/arabic/
699,Amin,arabic,https://www.names.org/lists/by-origin/arabic/
700,Shalon,swahili ,https://www.names.org/lists/by-origin/swahili/
701,Kyrian,yoruba,https://www.names.org/lists/by-origin/yoruba/
702,Adekunle,yoruba,https://www.names.org/lists/by-origin/yoruba/
703,Ugo,igbo,https://www.names.org/lists/by-origin/igbo/
704,Keanu,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
705,Mayana,igbo,https://www.names.org/lists/by-origin/igbo/
706,Skuza,arabic,https://www.names.org/lists/by-origin/arabic/
707,Sithole,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
708,Obama,african,https://www.names.org/lists/by-origin/african/
709,Tola,yoruba,https://www.names.org/lists/by-origin/yoruba/
710,Osuagwu,igbo,https://www.names.org/lists/by-origin/igbo/
711,Linka,swahili ,https://www.names.org/lists/by-origin/swahili/
712,Kito,swahili ,https://www.names.org/lists/by-origin/swahili/
713,Obinna,igbo,https://www.names.org/lists/by-origin/igbo/
714,Heritier,swahili ,https://www.names.org/lists/by-origin/swahili/
715,Diala,arabic,https://www.names.org/lists/by-origin/arabic/
716,Ayo,yoruba,https://www.names.org/lists/by-origin/yoruba/
717,Bailey,english,https://www.names.org/lists/by-origin/english/
718,Okere,igbo,https://www.names.org/lists/by-origin/igbo/
719,Girma,amharic,https://www.names.org/lists/by-origin/amharic/
720,Kinyanjui,swahili ,https://www.names.org/lists/by-origin/swahili/
721,Bayek,african,https://www.names.org/lists/by-origin/african/
722,Anosike,igbo,https://www.names.org/lists/by-origin/igbo/
723,Noad,amharic,https://www.names.org/lists/by-origin/amharic/
724,Dukuly,african,https://www.names.org/lists/by-origin/african/
725,Rivaldo,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
726,Alia,arabic,https://www.names.org/lists/by-origin/arabic/
727,Ezeh,igbo,https://www.names.org/lists/by-origin/igbo/
728,Zufan,amharic,https://www.names.org/lists/by-origin/amharic/
729,Stewart,english,https://www.names.org/lists/by-origin/english/
730,Kaluba,xhosa,https://www.names.org/lists/by-origin/xhosa/
731,Alaia,arabic,https://www.names.org/lists/by-origin/arabic/
732,Vanzyl,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
733,Jammeh,african,https://www.names.org/lists/by-origin/african/
734,Boakye,african,https://www.names.org/lists/by-origin/african/
735,Christian,english,https://www.names.org/lists/by-origin/english/
736,Stacey,english,https://www.names.org/lists/by-origin/english/
737,Shittu,yoruba,https://www.names.org/lists/by-origin/yoruba/
738,Zeleke,amharic,https://www.names.org/lists/by-origin/amharic/
739,Mahle,xhosa,https://www.names.org/lists/by-origin/xhosa/
740,Obasi,igbo,https://www.names.org/lists/by-origin/igbo/
741,Esha,arabic,https://www.names.org/lists/by-origin/arabic/
742,Anari,african,https://www.names.org/lists/by-origin/african/
743,Patson,xhosa,https://www.names.org/lists/by-origin/xhosa/
744,Promise,african,https://www.names.org/lists/by-origin/african/
745,Kuyateh,yoruba,https://www.names.org/lists/by-origin/yoruba/
746,Simfukwe,xhosa,https://www.names.org/lists/by-origin/xhosa/
747,Kyro,english,https://www.names.org/lists/by-origin/english/
748,Linker,swahili ,https://www.names.org/lists/by-origin/swahili/
749,Amani,swahili ,https://www.names.org/lists/by-origin/swahili/
750,Rashford,swahili ,https://www.names.org/lists/by-origin/swahili/
751,Ali,arabic,https://www.names.org/lists/by-origin/arabic/
752,Stabile,african-american,https://www.names.org/lists/by-origin/african/
753,Yoel,amharic,https://www.names.org/lists/by-origin/amharic/
754,Adeleke,yoruba,https://www.names.org/lists/by-origin/yoruba/
755,Bader,arabic,https://www.names.org/lists/by-origin/arabic/
756,Schalk,african-american,https://www.names.org/lists/by-origin/african/
757,Yohanna,amharic,https://www.names.org/lists/by-origin/amharic/
758,Tiran,swahili ,https://www.names.org/lists/by-origin/swahili/
759,Grobbelaar,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
760,Caneer,arabic,https://www.names.org/lists/by-origin/arabic/
761,Ballah,yoruba,https://www.names.org/lists/by-origin/yoruba/
762,Bethlehem,amharic,https://www.names.org/lists/by-origin/amharic/
763,Kedir,amharic,https://www.names.org/lists/by-origin/amharic/
764,Gakpo,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
765,Tracy,swahili ,https://www.names.org/lists/by-origin/swahili/
766,Chimera,igbo,https://www.names.org/lists/by-origin/igbo/
767,Mieke,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
768,Thrash,african-american,https://www.names.org/lists/by-origin/african/
769,Abdallah,arabic,https://www.names.org/lists/by-origin/arabic/
770,Endris,amharic,https://www.names.org/lists/by-origin/amharic/
771,Inzunza,african,https://www.names.org/lists/by-origin/african/
772,Frimpong,african,https://www.names.org/lists/by-origin/african/
773,Alemu,amharic,https://www.names.org/lists/by-origin/amharic/
774,Royalty,african,https://www.names.org/lists/by-origin/african/
775,Lundi,xhosa,https://www.names.org/lists/by-origin/xhosa/
776,Woldegiorgis,amharic,https://www.names.org/lists/by-origin/amharic/
777,Noma,xhosa,https://www.names.org/lists/by-origin/xhosa/
778,Nweke,igbo,https://www.names.org/lists/by-origin/igbo/
779,Malek,arabic,https://www.names.org/lists/by-origin/arabic/
780,Loza,african-american,https://www.names.org/lists/by-origin/african/
781,Linke,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
782,Martin,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
783,Pieterse,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
784,Christopher,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
785,Taiwo,yoruba,https://www.names.org/lists/by-origin/yoruba/
786,Yoza,english,https://www.names.org/lists/by-origin/english/
787,Neria,swahili ,https://www.names.org/lists/by-origin/swahili/
788,Selam,amharic,https://www.names.org/lists/by-origin/amharic/
789,Parker,english,https://www.names.org/lists/by-origin/english/
790,Sone,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
791,Kross,african,https://www.names.org/lists/by-origin/african/
792,Daines,swahili ,https://www.names.org/lists/by-origin/swahili/
793,Blain,african-american,https://www.names.org/lists/by-origin/african/
794,Suane,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
795,Fahnbulleh,yoruba,https://www.names.org/lists/by-origin/yoruba/
796,Khamisi,swahili ,https://www.names.org/lists/by-origin/swahili/
797,Myburgh,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
798,Addis,african-american,https://www.names.org/lists/by-origin/african/
799,Belachew,amharic,https://www.names.org/lists/by-origin/amharic/
800,Collins,swahili ,https://www.names.org/lists/by-origin/swahili/
801,Uduma,igbo,https://www.names.org/lists/by-origin/igbo/
802,King,english,https://www.names.org/lists/by-origin/english/
803,Ogbonna,igbo,https://www.names.org/lists/by-origin/igbo/
804,Henk,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
805,Varo,arabic,https://www.names.org/lists/by-origin/arabic/
806,Ogunleye,yoruba,https://www.names.org/lists/by-origin/yoruba/
807,Zewdu,amharic,https://www.names.org/lists/by-origin/amharic/
808,Okeke,igbo,https://www.names.org/lists/by-origin/igbo/
809,Memory,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
810,Samara,english,https://www.names.org/lists/by-origin/english/
811,Mustapha,igbo,https://www.names.org/lists/by-origin/igbo/
812,Mohammed,arabic,https://www.names.org/lists/by-origin/arabic/
813,Jacobus,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
814,Ndukwe,igbo,https://www.names.org/lists/by-origin/igbo/
815,Biruk,african,https://www.names.org/lists/by-origin/african/
816,Lamoy,english,https://www.names.org/lists/by-origin/english/
817,Ijeoma,african,https://www.names.org/lists/by-origin/african/
818,Buys,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
819,Watson,english,https://www.names.org/lists/by-origin/english/
820,Ayen,african,https://www.names.org/lists/by-origin/african/
821,Zay,african,https://www.names.org/lists/by-origin/african/
822,Sarine,arabic,https://www.names.org/lists/by-origin/arabic/
823,Hanos,amharic,https://www.names.org/lists/by-origin/amharic/
824,Jallah,yoruba,https://www.names.org/lists/by-origin/yoruba/
825,Jabbie,african,https://www.names.org/lists/by-origin/african/
826,Pienaar,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
827,Olona,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
828,Quadri,igbo,https://www.names.org/lists/by-origin/igbo/
829,Sankoh,african,https://www.names.org/lists/by-origin/african/
