recnr,firstname,sex,origin,source
610,Kamsi,female,african,https://www.names.org/lists/by-origin/african/
611,Charl,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
612,Waweru,male,swahili ,https://www.names.org/lists/by-origin/swahili/
613,Ibrahim,male,arabic,https://www.names.org/lists/by-origin/arabic/
614,Amaza,male,xhosa,https://www.names.org/lists/by-origin/xhosa/
615,John,male,swahili ,https://www.names.org/lists/by-origin/swahili/
616,Tai,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
617,Layola,female,xhosa,https://www.names.org/lists/by-origin/xhosa/
618,Evar,male,arabic,https://www.names.org/lists/by-origin/arabic/
619,Kamsi,male,african,https://www.names.org/lists/by-origin/african/
620,Elihu,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
621,Luyanda,male,swahili ,https://www.names.org/lists/by-origin/swahili/
622,Haile,male,amharic,https://www.names.org/lists/by-origin/amharic/
623,Ona,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
624,Lawrenta,female,igbo,https://www.names.org/lists/by-origin/igbo/
625,Muchiri,male,swahili ,https://www.names.org/lists/by-origin/swahili/
626,Tesfa,male,amharic,https://www.names.org/lists/by-origin/amharic/
627,Fillemon,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
628,Pendo,female,swahili ,https://www.names.org/lists/by-origin/swahili/
629,Tamil,female,english,https://www.names.org/lists/by-origin/english/
630,Mikaia,female,african,https://www.names.org/lists/by-origin/african/
631,Abdifatah,male,african,https://www.names.org/lists/by-origin/african/
632,Concy,male,amharic,https://www.names.org/lists/by-origin/amharic/
633,Decontee,male,african,https://www.names.org/lists/by-origin/african/
634,Guitta,female,arabic,https://www.names.org/lists/by-origin/arabic/
635,Ayanda,female,swahili ,https://www.names.org/lists/by-origin/swahili/
636,Arhaan,male,arabic,https://www.names.org/lists/by-origin/arabic/
637,Yejide ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
638,Ngor,female,amharic,https://www.names.org/lists/by-origin/amharic/
639,Rakiatu,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
640,Vestine,female,swahili ,https://www.names.org/lists/by-origin/swahili/
641,Bezawit,female,amharic,https://www.names.org/lists/by-origin/amharic/
642,Onika,female,african,https://www.names.org/lists/by-origin/african/
643,Douglas,male,english,https://www.names.org/lists/by-origin/english/
644,Chinaza,female,igbo,https://www.names.org/lists/by-origin/igbo/
645,Ezdan,male,arabic,https://www.names.org/lists/by-origin/arabic/
646,Olaoluwa,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
647,Lucia,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
648,Juwon,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
649,Deon,male,african-american,https://www.names.org/lists/by-origin/african/
650,Yared,male,amharic,https://www.names.org/lists/by-origin/amharic/
651,Ruan,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
652,Ireoluwa,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
653,Shandre,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
654,Katalea,female,arabic,https://www.names.org/lists/by-origin/arabic/
655,Aliha,female,arabic,https://www.names.org/lists/by-origin/arabic/
656,Zamaria,female,swahili ,https://www.names.org/lists/by-origin/swahili/
657,Sanneh,male,african,https://www.names.org/lists/by-origin/african/
658,Christabel,female,igbo,https://www.names.org/lists/by-origin/igbo/
659,Linda,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
660,Omotayo,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
661,Kissi,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
662,Mwangi,male,swahili ,https://www.names.org/lists/by-origin/swahili/
663,Michelle,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
664,Ogbu,male,igbo,https://www.names.org/lists/by-origin/igbo/
665,Marvis,male,african,https://www.names.org/lists/by-origin/african/
666,Juane,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
667,Obianuju,female,igbo,https://www.names.org/lists/by-origin/igbo/
668,Haylene,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
669,Adewale,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
670,Liyan,male,arabic,https://www.names.org/lists/by-origin/arabic/
671,Ozioma,male,igbo,https://www.names.org/lists/by-origin/igbo/
672,Mijah,female,african,https://www.names.org/lists/by-origin/african/
673,Susara,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
674,Emnet,female,amharic,https://www.names.org/lists/by-origin/amharic/
675,Antonio,male,english,https://www.names.org/lists/by-origin/english/
676,Kenisha,female,african,https://www.names.org/lists/by-origin/african/
677,Isaac,male,english,https://www.names.org/lists/by-origin/english/
678,Jojo,female,african,https://www.names.org/lists/by-origin/african/
679,Afamefuna,male,igbo,https://www.names.org/lists/by-origin/igbo/
680,Lina,female,arabic,https://www.names.org/lists/by-origin/arabic/
681,Isioma,female,igbo,https://www.names.org/lists/by-origin/igbo/
682,Denique,female,english,https://www.names.org/lists/by-origin/english/
683,Takisha ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
684,Arike,female,african,https://www.names.org/lists/by-origin/african/
685,Asunta,female,amharic,https://www.names.org/lists/by-origin/amharic/
686,Lyla,female,arabic,https://www.names.org/lists/by-origin/arabic/
687,Dereje,male,amharic,https://www.names.org/lists/by-origin/amharic/
688,Nuella,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
689,Ruaan,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
690,Yoakin,female,african,https://www.names.org/lists/by-origin/african/
691,Timileyin,female,igbo,https://www.names.org/lists/by-origin/igbo/
692,Duante,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
693,Salamatu,female,african,https://www.names.org/lists/by-origin/african/
694,Funzi,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
695,Busani,female,xhosa,https://www.names.org/lists/by-origin/xhosa/
696,Ajanaku,female,igbo,https://www.names.org/lists/by-origin/igbo/
697,Judi,female,arabic,https://www.names.org/lists/by-origin/arabic/
698,Ozil,male,arabic,https://www.names.org/lists/by-origin/arabic/
699,Ebyan,female,african,https://www.names.org/lists/by-origin/african/
700,Chimbusomma,female,igbo,https://www.names.org/lists/by-origin/igbo/
701,Nasir,male,arabic,https://www.names.org/lists/by-origin/arabic/
702,Chuku,female,igbo,https://www.names.org/lists/by-origin/igbo/
703,Candace,female,african,https://www.names.org/lists/by-origin/african/
704,Looth,male,arabic,https://www.names.org/lists/by-origin/arabic/
705,Alexandra,female,english,https://www.names.org/lists/by-origin/english/
706,Azizi,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
707,Lailah,female,arabic,https://www.names.org/lists/by-origin/arabic/
708,Iremide,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
709,Xena ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
710,Scovia,female,swahili ,https://www.names.org/lists/by-origin/swahili/
711,Endelea ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
712,Abyssinia,female,amharic,https://www.names.org/lists/by-origin/amharic/
713,Benzema,male,arabic,https://www.names.org/lists/by-origin/arabic/
714,Ruhama,female,amharic,https://www.names.org/lists/by-origin/amharic/
715,Solyana,female,african,https://www.names.org/lists/by-origin/african/
716,Jawara,male,swahili ,https://www.names.org/lists/by-origin/swahili/
717,Chineye,female,igbo,https://www.names.org/lists/by-origin/igbo/
718,Zhulia,female,arabic,https://www.names.org/lists/by-origin/arabic/
719,Folarin,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
720,Kiah,female,african,https://www.names.org/lists/by-origin/african/
721,Katie,female,english,https://www.names.org/lists/by-origin/english/
722,Munachi,male,igbo,https://www.names.org/lists/by-origin/igbo/
723,Chinenye,female,igbo,https://www.names.org/lists/by-origin/igbo/
724,Lydia,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
725,Quinella ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
726,Jaco,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
727,Nyjah,male,swahili ,https://www.names.org/lists/by-origin/swahili/
728,Shaquanda,female,swahili ,https://www.names.org/lists/by-origin/swahili/
729,Johanna,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
730,Weah,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
731,Phelo,male,xhosa,https://www.names.org/lists/by-origin/xhosa/
732,Momoh,male,african,https://www.names.org/lists/by-origin/african/
733,Amare,male,african-american,https://www.names.org/lists/by-origin/african/
734,Ayinde,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
735,Bustani,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
736,Tsion,female,amharic,https://www.names.org/lists/by-origin/amharic/
737,Dagim,male,amharic,https://www.names.org/lists/by-origin/amharic/
738,Rahel,female,amharic,https://www.names.org/lists/by-origin/amharic/
739,Nazi,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
740,Zolani,male,xhosa,https://www.names.org/lists/by-origin/xhosa/
741,Effiong,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
742,Kelechukwu,female,igbo,https://www.names.org/lists/by-origin/igbo/
743,Chiedozie,male,igbo,https://www.names.org/lists/by-origin/igbo/
744,Jare,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
745,Tochukwu,female,igbo,https://www.names.org/lists/by-origin/igbo/
746,Ryan,male,english,https://www.names.org/lists/by-origin/english/
747,Zandri,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
748,Hawanatu,female,african,https://www.names.org/lists/by-origin/african/
749,Oma,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
750,Yazmin,female,arabic,https://www.names.org/lists/by-origin/arabic/
751,Hiwot,female,amharic,https://www.names.org/lists/by-origin/amharic/
752,Zintle,female,xhosa,https://www.names.org/lists/by-origin/xhosa/
753,Ekemini,female,igbo,https://www.names.org/lists/by-origin/igbo/
754,Kamili,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
755,Natasha,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
756,Monde,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
757,Romola,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
758,Ayzin,male,arabic,https://www.names.org/lists/by-origin/arabic/
759,Luwan,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
760,Ithana,male,xhosa,https://www.names.org/lists/by-origin/xhosa/
761,Gregory,male,english,https://www.names.org/lists/by-origin/english/
762,Lindi ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
763,Brittany,female,english,https://www.names.org/lists/by-origin/english/
764,Jodian,female,english,https://www.names.org/lists/by-origin/english/
765,Vernard,male,african-american,https://www.names.org/lists/by-origin/african/
766,Luandre,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
767,Sabrina,female,arabic,https://www.names.org/lists/by-origin/arabic/
768,Bob,male,english,https://www.names.org/lists/by-origin/english/
769,Innocentia,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
770,Yolandi,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
771,Danile,male,xhosa,https://www.names.org/lists/by-origin/xhosa/
772,Haja,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
773,Rasheedat,female,igbo,https://www.names.org/lists/by-origin/igbo/
774,Abdullah,male,arabic,https://www.names.org/lists/by-origin/arabic/
775,Amara ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
776,Kevine,male,swahili ,https://www.names.org/lists/by-origin/swahili/
777,Latifa ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
778,Ronald,male,english,https://www.names.org/lists/by-origin/english/
779,Neria,female,swahili ,https://www.names.org/lists/by-origin/swahili/
780,Jerryline,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
781,Ruth,female,amharic,https://www.names.org/lists/by-origin/amharic/
782,Eyob,male,amharic,https://www.names.org/lists/by-origin/amharic/
783,Anien,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
784,Tawanna,female,african,https://www.names.org/lists/by-origin/african/
785,Wayne,male,english,https://www.names.org/lists/by-origin/english/
786,Chui ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
787,Timi,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
788,Rahwa,female,amharic,https://www.names.org/lists/by-origin/amharic/
789,Kiza,male,swahili ,https://www.names.org/lists/by-origin/swahili/
790,Ihuoma,female,igbo,https://www.names.org/lists/by-origin/igbo/
791,Dominic,male,english,https://www.names.org/lists/by-origin/english/
792,Naol,male,african,https://www.names.org/lists/by-origin/african/
793,Aminata,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
794,Kweisi,male,swahili ,https://www.names.org/lists/by-origin/swahili/
795,Hamdallah,female,igbo,https://www.names.org/lists/by-origin/igbo/
796,Adetokunbo,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
797,Jahaira,female,swahili ,https://www.names.org/lists/by-origin/swahili/
798,Nalia,female,swahili ,https://www.names.org/lists/by-origin/swahili/
799,Theunis,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
800,Kijana,female,swahili ,https://www.names.org/lists/by-origin/swahili/
801,Usawa ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
802,Memory,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
803,Lodi,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
804,Hevar,male,arabic,https://www.names.org/lists/by-origin/arabic/
805,Anaela,female,swahili ,https://www.names.org/lists/by-origin/swahili/
806,Alex,male,swahili ,https://www.names.org/lists/by-origin/swahili/
807,Noah,male,english,https://www.names.org/lists/by-origin/english/
808,Avene,male,xhosa,https://www.names.org/lists/by-origin/xhosa/
809,Munachi,female,igbo,https://www.names.org/lists/by-origin/igbo/
810,Sunel,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
811,Laone,female,african,https://www.names.org/lists/by-origin/african/
812,Caitlin,female,english,https://www.names.org/lists/by-origin/english/
813,Sam,male,english,https://www.names.org/lists/by-origin/english/
814,Noliwe,female,xhosa,https://www.names.org/lists/by-origin/xhosa/
815,Larona,male,xhosa,https://www.names.org/lists/by-origin/xhosa/
816,Emrakel,male,african,https://www.names.org/lists/by-origin/african/
817,Chisimdi,female,igbo,https://www.names.org/lists/by-origin/igbo/
818,Solam,female,xhosa,https://www.names.org/lists/by-origin/xhosa/
819,Jan,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
820,Simi,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
821,Laquan,male,african-american,https://www.names.org/lists/by-origin/african/
822,Ifeanyi,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
823,Benitha,female,swahili ,https://www.names.org/lists/by-origin/swahili/
824,Nande,male,xhosa,https://www.names.org/lists/by-origin/xhosa/
825,Hydara,female,african,https://www.names.org/lists/by-origin/african/
826,Sanele,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
827,Johari,female,swahili ,https://www.names.org/lists/by-origin/swahili/
828,Norraine,female,arabic,https://www.names.org/lists/by-origin/arabic/
829,Daniel,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
830,Margaret,female,english,https://www.names.org/lists/by-origin/english/
831,Amani,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
832,Ayomide,male,african,https://www.names.org/lists/by-origin/african/
833,Dweh,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
834,Onyinye,female,igbo,https://www.names.org/lists/by-origin/igbo/
835,Timaya,female,amharic,https://www.names.org/lists/by-origin/amharic/
836,Mbah,female,igbo,https://www.names.org/lists/by-origin/igbo/
837,Chinelo,female,igbo,https://www.names.org/lists/by-origin/igbo/
838,Gonga,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
839,Adriaan,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
840,Bojang,female,african,https://www.names.org/lists/by-origin/african/
841,Sabela,female,amharic,https://www.names.org/lists/by-origin/amharic/
842,Mutinta,male,xhosa,https://www.names.org/lists/by-origin/xhosa/
843,Cebo,female,xhosa,https://www.names.org/lists/by-origin/xhosa/
844,Amarachukwu,female,igbo,https://www.names.org/lists/by-origin/igbo/
845,Jhelani,male,swahili ,https://www.names.org/lists/by-origin/swahili/
846,Aviana,female,arabic,https://www.names.org/lists/by-origin/arabic/
847,Hannah,female,english,https://www.names.org/lists/by-origin/english/
848,Youssef,male,arabic,https://www.names.org/lists/by-origin/arabic/
849,Zanelle,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
850,Chipo,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
851,Sana ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
852,Mandre,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
853,Wana,female,xhosa,https://www.names.org/lists/by-origin/xhosa/
854,Yorgo,male,arabic,https://www.names.org/lists/by-origin/arabic/
855,Kamilah,female,arabic,https://www.names.org/lists/by-origin/arabic/
856,Natanem,male,amharic,https://www.names.org/lists/by-origin/amharic/
857,Toleen,female,arabic,https://www.names.org/lists/by-origin/arabic/
858,Fiston,male,swahili ,https://www.names.org/lists/by-origin/swahili/
859,Diala,female,arabic,https://www.names.org/lists/by-origin/arabic/
860,Shujaa ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
861,Abdiwali,male,arabic,https://www.names.org/lists/by-origin/arabic/
862,Kiatu,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
863,Meseret,male,amharic,https://www.names.org/lists/by-origin/amharic/
864,Jamila,female,arabic,https://www.names.org/lists/by-origin/arabic/
865,Sedad,male,arabic,https://www.names.org/lists/by-origin/arabic/
866,Niniola,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
867,Rihanna,female,arabic,https://www.names.org/lists/by-origin/arabic/
868,Nyasia,female,african,https://www.names.org/lists/by-origin/african/
869,Zayla,female,african,https://www.names.org/lists/by-origin/african/
870,Elom,female,amharic,https://www.names.org/lists/by-origin/amharic/
871,Shedrack,male,swahili ,https://www.names.org/lists/by-origin/swahili/
872,Norah,female,arabic,https://www.names.org/lists/by-origin/arabic/
873,Mickelle,female,amharic,https://www.names.org/lists/by-origin/amharic/
874,Hanco,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
875,Kusudi ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
876,Ferris,male,arabic,https://www.names.org/lists/by-origin/arabic/
877,Khadija ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
878,Zunaisha,female,arabic,https://www.names.org/lists/by-origin/arabic/
879,Damilola,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
880,Tobe,male,igbo,https://www.names.org/lists/by-origin/igbo/
881,Hasiti ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
882,Chamisa,female,xhosa,https://www.names.org/lists/by-origin/xhosa/
883,Ua ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
884,Helen,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
885,Beyan,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
886,Shermika,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
887,Bravin,male,swahili ,https://www.names.org/lists/by-origin/swahili/
888,Tasheka,female,english,https://www.names.org/lists/by-origin/english/
889,Morani,male,swahili ,https://www.names.org/lists/by-origin/swahili/
890,Shanique,female,english,https://www.names.org/lists/by-origin/english/
891,Wema,female,swahili ,https://www.names.org/lists/by-origin/swahili/
892,Lemi,female,amharic,https://www.names.org/lists/by-origin/amharic/
893,Buhle,male,african,https://www.names.org/lists/by-origin/african/
894,Lotanna,female,igbo,https://www.names.org/lists/by-origin/igbo/
895,Ifeoluwa,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
896,Yeabsera,female,amharic,https://www.names.org/lists/by-origin/amharic/
897,Cheryl,female,english,https://www.names.org/lists/by-origin/english/
898,Chanella,female,swahili ,https://www.names.org/lists/by-origin/swahili/
899,Nyron,male,english,https://www.names.org/lists/by-origin/english/
900,Fungua,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
901,Keshia,female,african,https://www.names.org/lists/by-origin/african/
902,Egide,male,swahili ,https://www.names.org/lists/by-origin/swahili/
903,Haki,male,swahili ,https://www.names.org/lists/by-origin/swahili/
904,Jamal,male,arabic,https://www.names.org/lists/by-origin/arabic/
905,Makhi,male,african-american,https://www.names.org/lists/by-origin/african/
906,Ikechi,male,igbo,https://www.names.org/lists/by-origin/igbo/
907,Ifechukwu,male,igbo,https://www.names.org/lists/by-origin/igbo/
908,Sofiat,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
909,Zola,female,swahili ,https://www.names.org/lists/by-origin/swahili/
910,Jude,male,arabic,https://www.names.org/lists/by-origin/arabic/
911,Karama,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
912,Tarik,male,arabic,https://www.names.org/lists/by-origin/arabic/
913,Milisa,female,xhosa,https://www.names.org/lists/by-origin/xhosa/
914,Fenan,female,amharic,https://www.names.org/lists/by-origin/amharic/
915,Khamis,male,amharic,https://www.names.org/lists/by-origin/amharic/
916,Rashaad,male,arabic,https://www.names.org/lists/by-origin/arabic/
917,Donzo,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
918,Oluwatise,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
919,Chikezie,male,igbo,https://www.names.org/lists/by-origin/igbo/
920,Tamesha,female,swahili ,https://www.names.org/lists/by-origin/swahili/
921,Cataleya,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
922,Etsub,female,amharic,https://www.names.org/lists/by-origin/amharic/
923,Nai,male,arabic,https://www.names.org/lists/by-origin/arabic/
924,Tamasha,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
925,Nile,male,african-american,https://www.names.org/lists/by-origin/african/
926,Tsehai,female,amharic,https://www.names.org/lists/by-origin/amharic/
927,Lual,male,amharic,https://www.names.org/lists/by-origin/amharic/
928,Abdiaziz,male,african,https://www.names.org/lists/by-origin/african/
929,Juelz,male,african-american,https://www.names.org/lists/by-origin/african/
930,Imonie,female,swahili ,https://www.names.org/lists/by-origin/swahili/
931,Emrakel,female,african,https://www.names.org/lists/by-origin/african/
932,Famatta,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
933,Maisha,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
934,Janet,female,english,https://www.names.org/lists/by-origin/english/
935,Jabori,male,swahili ,https://www.names.org/lists/by-origin/swahili/
936,Kiros,male,amharic,https://www.names.org/lists/by-origin/amharic/
937,Naod,male,african,https://www.names.org/lists/by-origin/african/
938,Rushane,male,english,https://www.names.org/lists/by-origin/english/
939,Verda,female,arabic,https://www.names.org/lists/by-origin/arabic/
940,Sukari,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
941,Bola,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
942,Umoja ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
943,Linca,female,swahili ,https://www.names.org/lists/by-origin/swahili/
944,Suheila,female,xhosa,https://www.names.org/lists/by-origin/xhosa/
945,Nicolaas,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
946,Tanya,female,english,https://www.names.org/lists/by-origin/english/
947,Kayla,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
948,Adisa,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
949,Kahlil,male,arabic,https://www.names.org/lists/by-origin/arabic/
950,Lashay,female,african,https://www.names.org/lists/by-origin/african/
951,Wingu,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
2719,Yunice,male,xhosa,https://www.names.org/lists/by-origin/xhosa/
952,Britney,female,english,https://www.names.org/lists/by-origin/english/
953,Avile,female,xhosa,https://www.names.org/lists/by-origin/xhosa/
954,Nicola,male,english,https://www.names.org/lists/by-origin/english/
955,Faisal,male,arabic,https://www.names.org/lists/by-origin/arabic/
956,Sbani,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
957,Filimon,male,amharic,https://www.names.org/lists/by-origin/amharic/
958,Plaxedes,female,xhosa,https://www.names.org/lists/by-origin/xhosa/
959,Georges,male,arabic,https://www.names.org/lists/by-origin/arabic/
960,Kamaree,female,swahili ,https://www.names.org/lists/by-origin/swahili/
961,Leoul,male,amharic,https://www.names.org/lists/by-origin/amharic/
962,Henon,male,amharic,https://www.names.org/lists/by-origin/amharic/
963,Umayma ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
964,Janjay,male,african,https://www.names.org/lists/by-origin/african/
965,Kibwe,male,swahili ,https://www.names.org/lists/by-origin/swahili/
966,Niza,female,xhosa,https://www.names.org/lists/by-origin/xhosa/
967,Hasani,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
968,Tristan,male,english,https://www.names.org/lists/by-origin/english/
969,Anuoluwapo,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
970,Aylan,male,arabic,https://www.names.org/lists/by-origin/arabic/
971,Darik,male,amharic,https://www.names.org/lists/by-origin/amharic/
972,Namal,female,arabic,https://www.names.org/lists/by-origin/arabic/
973,Oluwatumininu,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
974,Tayla,female,english,https://www.names.org/lists/by-origin/english/
975,Dashne,female,arabic,https://www.names.org/lists/by-origin/arabic/
976,Ekirapa,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
977,Onyekachi,female,igbo,https://www.names.org/lists/by-origin/igbo/
978,Lamla,female,xhosa,https://www.names.org/lists/by-origin/xhosa/
979,Ketia,female,swahili ,https://www.names.org/lists/by-origin/swahili/
980,Beniyas,male,african,https://www.names.org/lists/by-origin/african/
981,Akida,female,swahili ,https://www.names.org/lists/by-origin/swahili/
982,Ben,male,english,https://www.names.org/lists/by-origin/english/
983,Mikael,male,arabic,https://www.names.org/lists/by-origin/arabic/
984,Fillemon,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
985,Tambo,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
986,Dafina,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
987,Faven,female,amharic,https://www.names.org/lists/by-origin/amharic/
988,Tiane,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
989,Tobechukwu,male,african,https://www.names.org/lists/by-origin/african/
990,Joseph,male,swahili ,https://www.names.org/lists/by-origin/swahili/
991,Shamoy,male,english,https://www.names.org/lists/by-origin/english/
992,Philip,male,english,https://www.names.org/lists/by-origin/english/
993,Elmarie,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
994,Kayin,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
995,Giza,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
996,Markon,male,amharic,https://www.names.org/lists/by-origin/amharic/
